Id,In_state_id,From_state_id,To_state_id,Adjustment,Effected_model_id,PSA_id
0,25,2,3,1.8,0,41
1,26,2,3,2.5,0,42
2,30,2,3,0.93,0,39
3,31,2,3,1.67,0,40
4,39,2,3,2,0,43
5,25,2,4,1.8,0,41
6,26,2,4,2.5,0,42
7,30,2,4,0.93,0,39
8,31,2,4,1.67,0,40
9,39,2,4,2,0,43
10,25,2,5,1.8,0,41
11,26,2,5,2.5,0,42
12,30,2,5,0.93,0,39
13,31,2,5,1.67,0,40
14,39,2,5,2,0,43
15,45,2,8,0.08552714,0,0
16,46,2,8,0.08552714,0,0
17,47,2,8,0.08552714,0,0
18,48,2,8,0.08552714,0,0
19,49,2,8,0.08552714,0,0
20,50,2,8,0.09344572,0,0
21,51,2,8,0.09344572,0,0
22,52,2,8,0.09344572,0,0
23,53,2,8,0.09344572,0,0
24,54,2,8,0.09344572,0,0
25,55,2,8,0.10473965,0,0
26,56,2,8,0.10473965,0,0
27,57,2,8,0.10473965,0,0
28,58,2,8,0.10473965,0,0
29,59,2,8,0.10473965,0,0
30,60,2,8,0.12756095,0,0
31,61,2,8,0.12756095,0,0
32,62,2,8,0.12756095,0,0
33,63,2,8,0.12756095,0,0
34,64,2,8,0.12756095,0,0
35,65,2,8,0.17787943,0,0
36,66,2,8,0.17787943,0,0
37,67,2,8,0.17787943,0,0
38,68,2,8,0.17787943,0,0
39,69,2,8,0.17787943,0,0
40,70,2,8,0.27476942,0,0
41,71,2,8,0.27476942,0,0
42,72,2,8,0.27476942,0,0
43,73,2,8,0.27476942,0,0
44,74,2,8,0.27476942,0,0
45,75,2,8,0.4112448,0,0
46,76,2,8,0.4112448,0,0
47,77,2,8,0.4112448,0,0
48,78,2,8,0.4112448,0,0
49,79,2,8,0.4112448,0,0
50,80,2,8,0.58270304,0,0
51,81,2,8,0.58270304,0,0
52,82,2,8,0.58270304,0,0
53,83,2,8,0.58270304,0,0
54,84,2,8,0.58270304,0,0
55,85,2,8,0.82195325,0,0
56,86,2,8,0.82195325,0,0
57,87,2,8,0.82195325,0,0
58,88,2,8,0.82195325,0,0
59,89,2,8,0.82195325,0,0
60,90,2,8,1.24193656,0,0
61,91,2,8,1.24193656,0,0
62,92,2,8,1.24193656,0,0
63,93,2,8,1.24193656,0,0
64,94,2,8,1.24193656,0,0
65,95,2,8,1.90872407,0,0
66,96,2,8,1.90872407,0,0
67,97,2,8,1.90872407,0,0
68,98,2,8,1.90872407,0,0
69,99,2,8,1.90872407,0,0
70,100,2,8,3.0382911,0,0
71,101,2,8,3.0382911,0,0
72,102,2,8,3.0382911,0,0
73,103,2,8,3.0382911,0,0
74,104,2,8,3.0382911,0,0
75,105,2,8,4.95246782,0,0
76,106,2,8,4.95246782,0,0
77,107,2,8,4.95246782,0,0
78,108,2,8,4.95246782,0,0
79,109,2,8,4.95246782,0,0
80,110,2,8,11.16249029,0,0
81,111,2,8,11.16249029,0,0
82,112,2,8,11.16249029,0,0
83,113,2,8,11.16249029,0,0
84,114,2,8,11.16249029,0,0
85,115,2,8,11.16249029,0,0
86,116,2,8,11.16249029,0,0
87,117,2,8,11.16249029,0,0
88,118,2,8,11.16249029,0,0
89,119,2,8,11.16249029,0,0
90,120,2,8,11.16249029,0,0
91,121,2,8,11.16249029,0,0
92,122,2,8,11.16249029,0,0
93,123,2,8,11.16249029,0,0
94,124,2,8,11.16249029,0,0
95,125,2,8,11.16249029,0,0
96,126,2,8,11.16249029,0,0
97,127,2,8,11.16249029,0,0
98,128,2,8,11.16249029,0,0
99,129,2,8,11.16249029,0,0
100,130,2,8,11.16249029,0,0
101,131,2,8,11.16249029,0,0
102,132,2,8,11.16249029,0,0
103,133,2,8,11.16249029,0,0
104,134,2,8,11.16249029,0,0
105,135,2,8,11.16249029,0,0
106,25,3,2,1,0,0
107,26,3,2,1,0,0
108,30,3,2,1,0,0
109,31,3,2,1,0,0
110,39,3,2,1,0,0
111,25,3,4,1.8,0,41
112,26,3,4,2.5,0,42
113,30,3,4,0.93,0,39
114,31,3,4,1.67,0,40
115,39,3,4,2,0,43
116,25,3,5,1.8,0,41
117,26,3,5,2.5,0,42
118,30,3,5,0.93,0,39
119,31,3,5,1.67,0,40
120,39,3,5,2,0,43
121,45,3,8,0.08552714,0,0
122,46,3,8,0.08552714,0,0
123,47,3,8,0.08552714,0,0
124,48,3,8,0.08552714,0,0
125,49,3,8,0.08552714,0,0
126,50,3,8,0.09344572,0,0
127,51,3,8,0.09344572,0,0
128,52,3,8,0.09344572,0,0
129,53,3,8,0.09344572,0,0
130,54,3,8,0.09344572,0,0
131,55,3,8,0.10473965,0,0
132,56,3,8,0.10473965,0,0
133,57,3,8,0.10473965,0,0
134,58,3,8,0.10473965,0,0
135,59,3,8,0.10473965,0,0
136,60,3,8,0.12756095,0,0
137,61,3,8,0.12756095,0,0
138,62,3,8,0.12756095,0,0
139,63,3,8,0.12756095,0,0
140,64,3,8,0.12756095,0,0
141,65,3,8,0.17787943,0,0
142,66,3,8,0.17787943,0,0
143,67,3,8,0.17787943,0,0
144,68,3,8,0.17787943,0,0
145,69,3,8,0.17787943,0,0
146,70,3,8,0.27476942,0,0
147,71,3,8,0.27476942,0,0
148,72,3,8,0.27476942,0,0
149,73,3,8,0.27476942,0,0
150,74,3,8,0.27476942,0,0
151,75,3,8,0.4112448,0,0
152,76,3,8,0.4112448,0,0
153,77,3,8,0.4112448,0,0
154,78,3,8,0.4112448,0,0
155,79,3,8,0.4112448,0,0
156,80,3,8,0.58270304,0,0
157,81,3,8,0.58270304,0,0
158,82,3,8,0.58270304,0,0
159,83,3,8,0.58270304,0,0
160,84,3,8,0.58270304,0,0
161,85,3,8,0.82195325,0,0
162,86,3,8,0.82195325,0,0
163,87,3,8,0.82195325,0,0
164,88,3,8,0.82195325,0,0
165,89,3,8,0.82195325,0,0
166,90,3,8,1.24193656,0,0
167,91,3,8,1.24193656,0,0
168,92,3,8,1.24193656,0,0
169,93,3,8,1.24193656,0,0
170,94,3,8,1.24193656,0,0
171,95,3,8,1.90872407,0,0
172,96,3,8,1.90872407,0,0
173,97,3,8,1.90872407,0,0
174,98,3,8,1.90872407,0,0
175,99,3,8,1.90872407,0,0
176,100,3,8,3.0382911,0,0
177,101,3,8,3.0382911,0,0
178,102,3,8,3.0382911,0,0
179,103,3,8,3.0382911,0,0
180,104,3,8,3.0382911,0,0
181,105,3,8,4.95246782,0,0
182,106,3,8,4.95246782,0,0
183,107,3,8,4.95246782,0,0
184,108,3,8,4.95246782,0,0
